category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievanceswithgoodrating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,"Akasa Air","Staff / Crew Behavior",49,2,0,46,46,0,NA,47,0,0,0,0,0,0,0,0,0,49,49,0,0,0
Airline,"Pak International","Ticketing, Fares & Refunds",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Delta Airlines","Staff / Crew Behavior",1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Japan Airlines","Check-in &amp; Boarding",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"China Eastern Airlines","Staff / Crew Behavior",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Bhutan Airlines","Flight Delays",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Airline,"Air Austral","Ticketing, Fares &amp; Refunds",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Helicopter - General Aviation",NA,"Himalayan Heli Services",8,0,0,8,8,0,NA,8,0,0,0,0,0,0,0,0,0,8,8,0,0,0
DGCA,DGCA,"Flying School",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
DGCA,DGCA,Manufacturer,3,1,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Customs,"Port Blair",Other,2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Customs,Bengaluru,Other,7,0,0,7,7,0,NA,7,0,0,0,0,0,0,0,0,0,7,7,0,0,0
Customs,Ranchi,Other,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Customs,Patna,Arrival,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Customs,Mangalore,Other,2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Customs,Guwahati,Other,3,0,0,3,3,0,NA,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
